id,category,expected,predicted,pass,turnCount,finalConfidence,finalDominanceMargin,winningComposite
"happy-1","Happy","happy","happy","true","1","0.850","1.000",""
"happy-2","Happy","happy","happy","true","1","0.880","1.000",""
"happy-3","Happy","happy","happy","true","1","0.750","1.000",""
"happy-4","Happy","happy","happy","true","1","0.800","1.000",""
"happy-5","Happy","happy","happy","true","1","0.850","1.000",""
"happy-6","Happy","happy","happy","true","1","0.600","0.896",""
"happy-7","Happy","happy","happy","true","1","0.900","1.000",""
"happy-8","Happy","happy","happy","true","1","0.600","1.000",""
"happy-9","Happy","happy","happy","true","1","0.800","1.000",""
"happy-10","Happy","happy","happy","true","1","0.700","1.000",""
"happy-11","Happy","happy","happy","true","1","0.700","1.000",""
"happy-12","Happy","happy","happy","true","1","0.600","1.000",""
"happy-13","Happy","happy","happy","true","1","0.900","1.000",""
"happy-14","Happy","happy","happy","true","1","0.600","1.000",""
"happy-15","Happy","happy","happy","true","1","0.600","1.000",""
"sad-16","Sad","sad","sad","true","1","0.800","1.000",""
"sad-17","Sad","sad","sad","true","1","0.750","1.000",""
"sad-18","Sad","sad","sad","true","1","0.800","1.000",""
"sad-19","Sad","sad","sad","true","1","0.700","1.000",""
"sad-20","Sad","sad","sad","true","1","0.750","1.000",""
"sad-21","Sad","sad","sad","true","1","0.850","1.000",""
"sad-22","Sad","sad","sad","true","1","0.800","1.000",""
"sad-23","Sad","sad","sad","true","1","0.700","1.000",""
"sad-24","Sad","sad","sad","true","1","0.700","1.000",""
"sad-25","Sad","sad","sad","true","1","0.800","1.000",""
"sad-26","Sad","sad","sad","true","1","0.650","1.000",""
"sad-27","Sad","sad","sad","true","1","0.700","1.000",""
"sad-28","Sad","sad","sad","true","1","0.700","1.000",""
"sad-29","Sad","sad","sad","true","1","0.750","1.000",""
"sad-30","Sad","sad","sad","true","1","0.800","1.000",""
"angry-31","Angry","angry","angry","true","1","0.850","1.000",""
"angry-32","Angry","angry","angry","true","1","0.700","0.818",""
"angry-33","Angry","angry","angry","true","1","0.750","1.000",""
"angry-34","Angry","angry","angry","true","1","0.800","1.000",""
"angry-35","Angry","angry","angry","true","1","0.900","1.000",""
"angry-36","Angry","angry","angry","true","1","0.600","0.778",""
"angry-37","Angry","angry","angry","true","1","0.700","1.000",""
"angry-38","Angry","angry","angry","true","1","0.850","1.000",""
"angry-39","Angry","angry","angry","true","1","0.600","1.000",""
"angry-40","Angry","angry","angry","true","1","0.750","0.879",""
"angry-41","Angry","angry","angry","true","1","0.700","1.000",""
"angry-42","Angry","angry","angry","true","1","0.800","0.818",""
"angry-43","Angry","angry","angry","true","1","0.750","1.000",""
"angry-44","Angry","angry","angry","true","1","0.600","1.000",""
"angry-45","Angry","angry","angry","true","1","0.650","0.835",""
"bittersweet-46","Bittersweet","bittersweet","bittersweet","true","1","0.550","0.382","bittersweet"
"bittersweet-47","Bittersweet","bittersweet","bittersweet","true","1","0.500","0.459","bittersweet"
"bittersweet-48","Bittersweet","bittersweet","bittersweet","true","1","0.500","0.433","bittersweet"
"bittersweet-49","Bittersweet","bittersweet","sad","false","1","0.500","0.420",""
"bittersweet-50","Bittersweet","bittersweet","bittersweet","true","1","0.500","0.433","bittersweet"
"bittersweet-51","Bittersweet","bittersweet","bittersweet","true","1","0.500","0.408","bittersweet"
"bittersweet-52","Bittersweet","bittersweet","bittersweet","true","1","0.500","0.405","bittersweet"
"bittersweet-53","Bittersweet","bittersweet","bittersweet","true","1","0.500","0.405","bittersweet"
"bittersweet-54","Bittersweet","bittersweet","bittersweet","true","1","0.450","0.141","bittersweet"
"bittersweet-55","Bittersweet","bittersweet","bittersweet","true","1","0.500","0.141","bittersweet"
"bittersweet-56","Bittersweet","bittersweet","bittersweet","true","1","0.450","0.459","bittersweet"
"bittersweet-57","Bittersweet","bittersweet","sad","false","1","0.500","0.371",""
"conflicted-58","Conflicted","conflicted","conflicted","true","1","0.400","0.196","conflicted"
"conflicted-59","Conflicted","conflicted","sad","false","1","0.400","0.051",""
